source,reference,mbart50
मुझे बहुत अजीब लगा.,నాకు చాలా వింతగా అనిపించింది.,నేను చాలా అదృష్ట.
मैं इतना भूखा हूँ कि एक घोड़ा भी खा सकता हूँ।,"నాకు చాలా ఆకలిగా ఉంది, నేను గుర్రాన్ని తినగలను.",నేను చాలా ఆకలితో ఒక घोडा खाవచ్చు.
मैं भालू जितना भूखा हूं।,నేను ఎలుగుబంటిలా ఆకలితో ఉన్నాను.,నేను చాలా भूख am.
मुझे भूख लगी थी।,నాకు ఆకలిగా ఉంది.,నేను ఆకలితో
मेरे पास पैसे बहुत कम है.,నా దగ్గర చాలా తక్కువ డబ్బు ఉంది.,నేను చాలా తక్కువ డబ్బు.
इसका स्वाद बहुत अच्छा है.,ఇది చాలా రుచిగా ఉంటుంది.,ఇది రుచి చాలా మంచి.
यह एक रोमांचक खेल था.,ఇది ఒక ఉత్తేజకరమైన గేమ్.,ఇది ఒక रोमांचक గేమ్
स्वाद बढ़िया है।,ఇది చాలా రుచిగా ఉంటుంది.,రుచి మంచి.
इसकी खुशबू बहुत अच्छी थी.,దాని వాసన చాలా బాగుంది.,its fragrance very good.
यहाँ धूप इतनी अधिक है कि अन्दर रहना सम्भव नहीं है।,లోపల ఉండడానికి వీలులేనంతగా ఇక్కడ ఎండలు తీవ్రంగా ఉన్నాయి.,- LRB - here so much sun that it is impossible to live.
यह बहुत अच्छा है.,ఇది చాలా బాగుంది.,ఇది చాలా మంచి.
"बहुत गर्मी है, है न?","ఇది చాలా వేడిగా ఉంది, కాదా?","చాలా వేడి, లేదు?"
