source,reference,mbart50
এটা আমার পড়ার জন্য খুব অন্ধকার.,मेरे पढ़ने के लिए बहुत अंधेरा है।,यह मेरी पढ़ाई के लिए बहुत भारी है.
এটা সত্যিই সস্তা ছিল.,यह सचमुच सस्ता था।,It was yesterday.
আমি এমন একজন মানুষকে সাহায্য করতে অক্ষম।,मैं ऐसे आदमी की मदद करने में असमर्थ हूं।,I couldn't afford to visit such a person.
একটি খুব সুদর্শন রাজপুত্র একটি ব্যতিক্রমী সুন্দর রাজকুমারীর সাথে দেখা করেছিলেন।,एक बहुत सुन्दर राजकुमार की मुलाकात एक असाधारण सुन्दर राजकुमारी से हुई।,एक बहुत ही अच्छा बादशाह ने एक बहुत ही अच्छा बादशाह के साथ बातचीत की।
আমার খুব ঠান্ডা লাগছে।,मुझे बहुत ठंड लग रही है.,मुझे बुढ़ापा है।
আমি সম্ভবত এটি পরিচালনা করতে পারি না।,मैं संभवतः इसका प्रबंध नहीं कर सकता।,मैं उसे नहीं चला सकता।
এটি একটি সুন্দর পোশাক।,यह एक सुंदर पोशाक है.,It's a beautiful robe.
এটা খুব সুন্দর ছিল.,यह बहुत सुन्दर था.,यह बहुत पवित्र था.
আমার খুব অদ্ভুত লাগছিল।,मुझे बहुत अजीब लगा.,मुझे बहुत अफ़सोस हुआ।
আমি এত ক্ষুধার্ত যে আমি একটি ঘোড়া খেতে পারি।,मैं इतना भूखा हूँ कि एक घोड़ा भी खा सकता हूँ।,मैं इतना भोला था कि मैं एक घंटा खा सकता था.
আমি ভালুকের মত ক্ষুধার্ত।,मैं भालू जितना भूखा हूं।,मैं ভালুক से डरता हूँ।
আমি ক্ষুধার্ত ছিল.,मुझे भूख लगी थी।,मैं बीमार था.
আমার কাছে খুব কম টাকা আছে।,मेरे पास पैसे बहुत कम है.,मैं बहुत कम पैसा रखता हूँ।
এটা খুব ভাল স্বাদ.,इसका स्वाद बहुत अच्छा है.,यह बहुत अच्छा देश है.
এটি একটি উত্তেজনাপূর্ণ খেলা ছিল.,यह एक रोमांचक खेल था.,यह एक April game was.
এটা মহান স্বাদ.,स्वाद बढ़िया है।,It's a great revolution.
এর গন্ধ খুব সুন্দর ছিল।,इसकी खुशबू बहुत अच्छी थी.,यह गांठ बहुत पवित्र था।
এখানে রোদ এত প্রখর যে ভিতরে থাকা সম্ভব নয়।,यहाँ धूप इतनी अधिक है कि अन्दर रहना सम्भव नहीं है।,इसमें इतना पैसा नहीं है कि वह अंदर रह सकता।
এটা খুবই ভালো।,यह बहुत अच्छा है.,बहुत अच्छा है।
"এটা খুব গরম, তাই না?","बहुत गर्मी है, है न?","यह बहुत गर्म है, right?"
