source,reference,m2m100
আমি খুব মুগ্ধ.,నేను చాలా ఇంప్రెస్ అయ్యాను.,
আমি সরানো ছিল.,నేను కదిలిపోయాను.,
আমি সত্যিই আপনার কাজের প্রশংসা.,నేను మీ పనిని నిజంగా అభినందిస్తున్నాను.,
খুব ঠাণ্ডা থাকায় বাইরে যাইনি।,చలి ఎక్కువగా ఉండడంతో నేను బయటకు వెళ్లలేదు.,
এত ঠান্ডা যে আমরা আগুন জ্বালালাম।,"చాలా చలిగా ఉంది, మేము మంటను వెలిగించాము.",
এত ঠাণ্ডা যে কেউ বাইরে যেতে চাইছিল না।,ఎవరూ బయటకు వెళ్లడానికి ఇష్టపడని విధంగా చలి ఉంది.,
এত ঠান্ডা যে ঘুমাতে পারছিলাম না।,చలికి నిద్ర పట్టదు.,
এত ঠান্ডা যে সারাদিন ঘরেই ছিলাম।,చలి ఎక్కువై రోజంతా ఇంట్లోనే ఉండిపోయాను.,
আমার খুব ঠান্ডা লাগছে।,నాకు చాలా చలిగా అనిపిస్తుంది.,
আমি সত্যিই এটা অনেক উপভোগ.,నేను నిజంగా చాలా ఆనందించాను.,
আমি একটি চমৎকার সময় ছিল.,నేను అద్భుతమైన సమయాన్ని గడిపాను.,
এটি একটি খুব মনোরম বিকেল ছিল.,ఇది చాలా ఆహ్లాదకరమైన మధ్యాహ్నం.,
সেখানে খুব অন্ধকার ছিল।,అక్కడ చాలా చీకటిగా ఉంది.,
এটা আমার পড়ার জন্য খুব অন্ধকার.,నేను చదవడానికి చాలా చీకటిగా ఉంది.,
এটা সত্যিই সস্তা ছিল.,ఇది నిజంగా చౌకగా ఉంది.,
আমি এমন একজন মানুষকে সাহায্য করতে অক্ষম।,అలాంటి వ్యక్తికి నేను సహాయం చేయలేను.,
একটি খুব সুদর্শন রাজপুত্র একটি ব্যতিক্রমী সুন্দর রাজকুমারীর সাথে দেখা করেছিলেন।,చాలా అందమైన యువరాజు అసాధారణమైన అందమైన యువరాణిని కలుసుకున్నాడు.,
আমার খুব ঠান্ডা লাগছে।,నాకు చాలా చలిగా అనిపిస్తుంది.,
আমি সম্ভবত এটি পরিচালনা করতে পারি না।,నేను దానిని నిర్వహించలేను.,
এটি একটি সুন্দর পোশাক।,ఇది అందమైన దుస్తులు.,
এটা খুব সুন্দর ছিল.,చాలా అందంగా ఉంది.,
আমার খুব অদ্ভুত লাগছিল।,నాకు చాలా వింతగా అనిపించింది.,
আমি এত ক্ষুধার্ত যে আমি একটি ঘোড়া খেতে পারি।,"నాకు చాలా ఆకలిగా ఉంది, నేను గుర్రాన్ని తినగలను.",
আমি ভালুকের মত ক্ষুধার্ত।,నేను ఎలుగుబంటిలా ఆకలితో ఉన్నాను.,
আমি ক্ষুধার্ত ছিল.,నాకు ఆకలిగా ఉంది.,
আমার কাছে খুব কম টাকা আছে।,నా దగ్గర చాలా తక్కువ డబ్బు ఉంది.,
এটা খুব ভাল স্বাদ.,ఇది చాలా రుచిగా ఉంటుంది.,
এটি একটি উত্তেজনাপূর্ণ খেলা ছিল.,ఇది ఒక ఉత్తేజకరమైన గేమ్.,
এটা মহান স্বাদ.,ఇది చాలా రుచిగా ఉంటుంది.,
এর গন্ধ খুব সুন্দর ছিল।,దాని వాసన చాలా బాగుంది.,
এখানে রোদ এত প্রখর যে ভিতরে থাকা সম্ভব নয়।,లోపల ఉండడానికి వీలులేనంతగా ఇక్కడ ఎండలు తీవ్రంగా ఉన్నాయి.,
এটা খুবই ভালো।,ఇది చాలా బాగుంది.,
"এটা খুব গরম, তাই না?","ఇది చాలా వేడిగా ఉంది, కాదా?",
