source,reference,m2m100
এটি একটি সুন্দর পোশাক।,यह एक सुंदर पोशाक है.,यह एक सुंदर पोशाक है।
এটা খুব সুন্দর ছিল.,यह बहुत सुन्दर था.,यह बहुत सुंदर था।
আমার খুব অদ্ভুত লাগছিল।,मुझे बहुत अजीब लगा.,मुझे बहुत अजीब लग रहा था।
আমি এত ক্ষুধার্ত যে আমি একটি ঘোড়া খেতে পারি।,मैं इतना भूखा हूँ कि एक घोड़ा भी खा सकता हूँ।,मैं इतना भूखा हूं कि मैं एक घोड़े को खा सकता हूं।
আমি ভালুকের মত ক্ষুধার্ত।,मैं भालू जितना भूखा हूं।,मैं एक भालू की तरह भूखा हूं।
আমি ক্ষুধার্ত ছিল.,मुझे भूख लगी थी।,मैं भूखा था।
আমার কাছে খুব কম টাকা আছে।,मेरे पास पैसे बहुत कम है.,मेरे पास बहुत कम पैसा है।
এটা খুব ভাল স্বাদ.,इसका स्वाद बहुत अच्छा है.,यह बहुत अच्छा स्वाद है।
এটি একটি উত্তেজনাপূর্ণ খেলা ছিল.,यह एक रोमांचक खेल था.,यह एक रोमांचक खेल था।
এটা মহান স্বাদ.,स्वाद बढ़िया है।,यह बहुत स्वादिष्ट है।
এর গন্ধ খুব সুন্দর ছিল।,इसकी खुशबू बहुत अच्छी थी.,इसकी गंध बहुत सुंदर थी।
এখানে রোদ এত প্রখর যে ভিতরে থাকা সম্ভব নয়।,यहाँ धूप इतनी अधिक है कि अन्दर रहना सम्भव नहीं है।,यह इतना आरामदायक है कि यह अंदर नहीं रह सकता है।
এটা খুবই ভালো।,यह बहुत अच्छा है.,यह बहुत अच्छा है।
"এটা খুব গরম, তাই না?","बहुत गर्मी है, है न?","यह बहुत गर्म है, है ना?"
