source,reference,mbart50
এত ঠান্ডা যে ঘুমাতে পারছিলাম না।,చలికి నిద్ర పట్టదు.,నేను నిద్ర కాలేదు త్రాగడం.
এত ঠান্ডা যে সারাদিন ঘরেই ছিলাম।,చలి ఎక్కువై రోజంతా ఇంట్లోనే ఉండిపోయాను.,నేనుతిరిగిఇంకాబట్టిঠাని ఉంది.
আমার খুব ঠান্ডা লাগছে।,నాకు చాలా చలిగా అనిపిస్తుంది.,నేను చాలాঠাనవాటినిLeaving
আমি সত্যিই এটা অনেক উপভোগ.,నేను నిజంగా చాలా ఆనందించాను.,నేను ప్రియమైన ఇది.
আমি একটি চমৎকার সময় ছিল.,నేను అద్భుతమైన సమయాన్ని గడిపాను.,నేను ఒక అద్భుతమైన সময়.
এটি একটি খুব মনোরম বিকেল ছিল.,ఇది చాలా ఆహ్లాదకరమైన మధ్యాహ్నం.,ఇది ఒక very seriousকেল.
সেখানে খুব অন্ধকার ছিল।,అక్కడ చాలా చీకటిగా ఉంది.,చాలా అభుతంగా ఉంది.
এটা আমার পড়ার জন্য খুব অন্ধকার.,నేను చదవడానికి చాలా చీకటిగా ఉంది.,ఇది నా lecturing university చాలా అస్పష్టం.
এটা সত্যিই সস্তা ছিল.,ఇది నిజంగా చౌకగా ఉంది.,It was yesterday.
আমি এমন একজন মানুষকে সাহায্য করতে অক্ষম।,అలాంటి వ్యక్తికి నేను సహాయం చేయలేను.,I could visit a person.
একটি খুব সুদর্শন রাজপুত্র একটি ব্যতিক্রমী সুন্দর রাজকুমারীর সাথে দেখা করেছিলেন।,చాలా అందమైన యువరాజు అసాధారణమైన అందమైన యువరాణిని కలుసుకున్నాడు.,ఒక very famous statesman... ... met an amazing statesman.
আমার খুব ঠান্ডা লাগছে।,నాకు చాలా చలిగా అనిపిస్తుంది.,నేను చాలాঠাనవాటినిLeaving
আমি সম্ভবত এটি পরিচালনা করতে পারি না।,నేను దానిని నిర్వహించలేను.,నేను ఖచ్చితంగా అది পরিচালনা కాదు.
এটি একটি সুন্দর পোশাক।,ఇది అందమైన దుస్తులు.,This is a beautiful robe.
এটা খুব সুন্দর ছিল.,చాలా అందంగా ఉంది.,It was very beautiful.
আমার খুব অদ্ভুত লাগছিল।,నాకు చాలా వింతగా అనిపించింది.,నేను దేవుని লাগ వచ్చింది.
আমি এত ক্ষুধার্ত যে আমি একটি ঘোড়া খেতে পারি।,"నాకు చాలా ఆకలిగా ఉంది, నేను గుర్రాన్ని తినగలను.",నేను నేను ఒక త్రాగడానికి త్రాగడానికి చేస్తారు.
আমি ভালুকের মত ক্ষুধার্ত।,నేను ఎలుగుబంటిలా ఆకలితో ఉన్నాను.,నేను ఎలుగుబంటి వంటి నకిలి.
আমি ক্ষুধার্ত ছিল.,నాకు ఆకలిగా ఉంది.,నేను చిత్రవిచిత్రమైన.
আমার কাছে খুব কম টাকা আছে।,నా దగ్గర చాలా తక్కువ డబ్బు ఉంది.,నేను చాలా తక్కువ డబ్బు.
এটা খুব ভাল স্বাদ.,ఇది చాలా రుచిగా ఉంటుంది.,ఇది very good.
এটি একটি উত্তেজনাপূর্ণ খেলা ছিল.,ఇది ఒక ఉత్తేజకరమైన గేమ్.,It was a November sports game.
এটা মহান স্বাদ.,ఇది చాలా రుచిగా ఉంటుంది.,ఇది tremendous.
এর গন্ধ খুব সুন্দর ছিল।,దాని వాసన చాలా బాగుంది.,ఈ event was very special.
এখানে রোদ এত প্রখর যে ভিতরে থাকা সম্ভব নয়।,లోపల ఉండడానికి వీలులేనంతగా ఇక్కడ ఎండలు తీవ్రంగా ఉన్నాయి.,Frowth here is not so much as to be contained.
এটা খুবই ভালো।,ఇది చాలా బాగుంది.,ఇది మంచి.
"এটা খুব গরম, তাই না?","ఇది చాలా వేడిగా ఉంది, కాదా?","ఇది చాలా গরম, right?"
