bn,hi,te
"হরিমতি মুখ রগড়াইয়া পিঠময় চোখের জল মাখাইয়া দিতে দিতে জানাইল যে, বৌদি গাল টিপিয়া দিয়াছে ","हरिमती उसकी पीठ पर जगह-जगह आंसुओ के चिह्न छोड़ती हुई बोली- “आज भाभी ने मेरे गाल पर चुटकी काटी ""","హరిమతి తన వీపు మీద కన్నీటి గుర్తులను వదిలేసి, ""ఈరోజు భాభీ నా చెంపను గిల్లాడు"" అన్నాడు."
এবং ‘কানী’ বলিয়া গাল দিয়াছে,"और ""मुझे कानी कहा! ”","మరియు ""నన్ను ఒంటి కన్ను అని పిలిచారు!"""
"নীলাম্বর হাসিয়া বলিল, ""তোমাকে কানী বলে""","नीलाम्बर ने हंसकर कहा- “तुम्हें कानी कहा""","నీలాంబర్ నవ్వుతూ ఇలా అన్నాడు- ""నేను నిన్ను ఒంటి కన్ను అని పిలిచాను"""
"অমন দু্টি চোক থাকতে যে কানী বলে, সে-ই কানী",अरे! इतनी सुन्दर आँखों वाली को कानी कहने वाली खुद कानी है,ఓహో! అంత అందమైన కళ్ళు ఉన్న అమ్మాయిని అంధురాలు అని పిలిచే వాడు తానే అంధురాలు.
কিন্তু গাল টিপে দেয় কেন,पर तुम्हारे गाल पर चुटकी क्यों भरी,కానీ నేను నీ చెంప మీద ఎందుకు చిటికె వేసాను?
"হরিমতি কাঁদিতে কাঁদিতে বলিল, মিছিমিছি","हरिमती ने रोते-रोते कहा- “उसकी मर्जी""","హరిమతి ఏడుస్తూ- ""అది అతని కోరిక"" అంది."
মিছিমিছি,उसकी मर्जी,అతని కోరిక
"আচ্ছা, চল ত দেখি, ",चल जरा पूछुं तो,"రండి, నేను మిమ్మల్ని అడుగుతాను."
"বলিয়া বোনের হাত ধরিয়া ভিতরে আসিয়া ডাকিল, বিরাজবৌ",नीलाम्बर हरिमती का हाथ पकड़कर घर के भीतर गया और पुकारा- “बिराज बहू!”,నీలాంబర్ హరిమతి చేయి పట్టుకుని ఇంటి లోపలికి వెళ్లి “బిరాజ్ బహు!” అని పిలిచాడు.
বড়বধূর নাম বিরাজ,बिराज बड़ी बहू का नाम है,పెద్ద కోడలి పేరు బిరాజ్.
তাহার নয় বৎসর বয়সে বিবাহ হইয়াছিল বলিয়া সকলে বিরাজবৌ বলিয়া ডাকিত,"उसकी शादी नौ साल की उम्र में हो गई थी, तबसे उसे सभी बिराज बहू कहते आए थे","ఆమె తొమ్మిదేళ్ల వయసులో వివాహం చేసుకుంది, అప్పటి నుండి అందరూ ఆమెను బిరాజ్ బహు అని పిలిచేవారు."
এখন তাহার বয়স উনিশ-কুড়ি,अब उसकी उम्र उन्नीस-बीस साल की है,అతనికి ఇప్పుడు పంతొమ్మిది లేదా ఇరవై సంవత్సరాలు ఉంటాయి
"চার-পাঁচ বছর পূর্বে তাহার একটি পুত্র-সন্তান জন্মিয়া আঁতুড়েই মরিয়াছিল, ","चार-पाँच साल पहले एक लड़का हुआ था, दो-चार दिन बाद ही मर गया था","నాలుగు-ఐదు సంవత్సరాల క్రితం ఒక అబ్బాయి పుట్టాడు, రెండు-నాలుగు రోజుల తర్వాత చనిపోయాడు"
সেই অবধি সে নিঃসন্তান,तब से वह निःसंतान ही है,అప్పటి నుండి ఆమెకు పిల్లలు లేరు
"ভাইবোনকে একসঙ্গে দেখিয়া জ্বলিয়া উঠিয়া বলিল, ""পোড়ামুখী আবার নালিশ করতে গিয়েছিলি""","भाई-बहन को एक-साथ देखकर वह जल उठी कड़ककर बोली- “कलमुंही, मेरी शिकायत करने गई थी""","సోదరుడు మరియు సోదరిని కలిసి ఉండటం చూసి, ఆమె కోపంగా ఉండి, ""నీ దుష్ట స్త్రీ, నువ్వు నా గురించి ఫిర్యాదు చేయడానికి వెళ్ళావు"" అని అంది."
"নীলাম্বর বলিল, তুমি ‘কানী’ বলেচ, ",नीलाम्बर ने शान्त भाव से कहा- तुमने 'कानी' कहा,నీలాంబర్ ప్రశాంతంగా అన్నాడు- నువ్వు నన్ను 'ఒక్క కన్ను' అని పిలిచావు
বিরাজ কহিল,बिराज बोली,బిరాజ్ కోట్
"ঘুম থেকে উঠে কোনো কাজ করা নেই, ","सुबह उठते ही कोई काम तो किया नहीं, "," నేను ఉదయం లేచిన వెంటనే ఏ పనీ చేయలేదు,"
গোয়ালে ঢুকে বাছুর খুলে দিয়ে হাঁ করে দাঁড়িয়ে দেখচে,हाँ बछड़ा जरुर खोल दिया और खड़े खड़े देख रही है ," అవును, ఆమె ఖచ్చితంగా దూడను విప్పి, అక్కడ నిలబడి చూస్తోంది"
আজ এক ফোঁটা দুধ পাওয়া গেল না,"बताइए, आज एक बूंद भी दूध नहीं मिला","చెప్పు, నాకు ఈరోజు పాలు చుక్క కూడా రాలేదు."
ওকে মারা উচিত,इसने तो पिटने का काम किया है,అది కొట్టే పని చేసింది
"নীলাম্বর বলিল, দিদি, হঠাৎ বাছুর খুলে দিতে গেলে কেন, ও কাজটা ত তোমার নয়",नीलाम्बर ने पूछा- बहन! बछड़ा खोलने का काम तो तुम्हारा नहीं है,నీలాంబర్ అడిగాడు- సోదరి! దూడను విప్పడం మీ పని కాదు.
"হরিমতি দাদার পিছনে দাঁড়াইয়া আস্তে আস্তে বলিল, আমি মনে করেচি দুধ দোয়া হয়ে গেছে",भाई के पीछे छुपी हुई हरिमती ने कहा- मैंने सोचा कि दूध दुहा जा चुका है,"హరిమతి తన సోదరుడి వెనుక దాక్కుని, ""పాలు పిండాయని నేను అనుకున్నాను"" అని అంది."
আর কোন দিন মনে ক’রো! ,फिर ऐसा समझा तो याद रखना , మీరు అలా అనుకుంటే దాన్ని గుర్తుంచుకోండి
"বলিয়া বিরাজ রান্নাঘরে ঢুকিতে যাইতেছিল, ",इतना कहकर बिराज चौके में जाने लगी,"ఇలా చెప్పి, బిరాజ్ వంటగదిలోకి వెళ్ళడం ప్రారంభించాడు."
"নীলাম্বর হাসিয়া বলিল, তুমিও একদিন ওর বয়সে মায়ের পাখি উড়িয়ে দিয়েছিলে","नीलाम्बर ने हंसते हुए कहा- “याद है न, इस उम्र में तुमने भी माँ का तोता उड़ा दिया था, "," నీలంబర్ నవ్వుతూ ఇలా అన్నాడు- “గుర్తుంచుకో, ఈ వయసులో నువ్వు మీ అమ్మను కూడా నవ్వించావు,"
"মনে করেছিলে, খাঁচার পাখি উড়তে পারে না",यह सोचकर कि पिंजरे में तोता उड़ ही नहीं सकता,చిలుక బోనులో ఎగరలేదని ఆలోచిస్తున్నారా?
"ফিরিয়া দাঁড়াইয়া হাসিমুখে বলিল, পড়ে; কিন্তু ও বয়সে নয়—আরও ছোট ছিলাম","पलटकर उसने मुस्कराकर कहा- “याद है, पर तब मैं पर तब मई इससे भी बहुत छोटी थी""","ఆమె వెనక్కి తిరిగి నవ్వి- ""నాకు గుర్తుంది, కానీ ఆ సమయంలో నేను దీని కంటే చాలా చిన్నవాడిని"" అని చెప్పింది."
"হরিমতি বলিল, চল না দাদা, বাগানে গিয়ে দেখি, আম পাকল কি না","हरिमतीने कहा- “दादा! चलो, जरा देखें कि बगीचे में आम पके या नहीं""","హరిమతి అంది- ""నాన్నా! తోటలో మామిడికాయలు పండిపోయాయో లేదో చూద్దాం"""
তাই চল,हाँ चलो,అవును వెళ్దాం
"যদু চাকর ভিতরে ঢুকিয়া বলিল, নারাণ ঠাকুরদা বসে আছেন","उसी पल नौकर यदु ने आकर कहा- “नारायण बाबा आए बैठे हैं""","ఆ సమయంలోనే సేవకుడు యదువు వచ్చి, ""నారాయణ బాబా వచ్చి ఇక్కడ కూర్చున్నాడు"" అని అన్నాడు."
"রান্নাঘরের ভিতর হইতে বিরাজ এ কথা শুনিতে পাইয়া দ্রুতপদে বাহিরে আসিয়া চেঁচাইয়া বলিল, যেতে বলে দে খুড়োকে","रसोई के अंदर से सुनकर बिराज बाज की तरह झपटकर बोली- “चाचा को जाने के लिए कह दे""","వంటగది లోపలి నుండి ఇది విన్న బిరాజ్, గద్దలాగా దూకి, “మామయ్యను వెళ్ళమని చెప్పు” అన్నాడు."
"স্বামীর প্রতি চাহিয়া বলিল, সকালবেলাতেই যদি ও-সব খাবে ত আমি মাথা খুঁড়ে মরব, কি-সব হচ্ছে আজকাল! ",यदि तुमने सुबह-सुबह पीने का धन्धा शुरु किया तो मैं अपने प्राण दे दूंगी... ये सब क्या है....,"నువ్వు పొద్దున్నే తాగడం మొదలుపెడితే, నేను నా ప్రాణాన్నే వదులుకుంటాను... ఇదంతా ఏమిటి...."
নীলাম্বর জবাব দিল না,नीलाम्बर ने कोई जवाब नहीं दीया,నీలాంబర్ ఎటువంటి సమాధానం ఇవ్వలేదు.
নিঃশব্দে ভগিনীর হাত ধরিয়া খিড়কির দ্বার দিয়া বাগানে চলিয়া গেল,चुपचाप बहन को लेकर बगीचे की ओर चल पड़ा,నిశ్శబ్దంగా తన చెల్లిని తీసుకొని తోట వైపు నడిచాడు.
এই বাগানটির এক প্রান্ত দিয়া শীর্ণকায়া সরস্বতী নদীর মৃদু স্রোতটুকু গঙ্গাযাত্রীর শ্বাস-প্রশ্বাসের মত বহিয়া যাইতেছিল,उसी बगीचे के पास से सरस्वती नदी की एक पतली सी धार किसी मरने वाले की अंतिम साँस की तरह बह रही थी , ఆ తోట దగ్గర సరస్వతి నది సన్నని ప్రవాహం మరణిస్తున్న వ్యక్తి చివరి శ్వాసలా ప్రవహిస్తోంది.
সর্বাঙ্গ শৈবালে পরিপূর্ণ; শধু মাঝে মাঝে গ্রামবাসীরা জল আহরণের জন্য কূপ খনন করিয়া রাখিয়া গিয়াছে,समुद्री काई से भरी; सिर्फ कही बिच बिच मै से पानी लेने के लिए गाँव वालो ने कुछ खड्डे जैसे बना कर गए है,"సముద్రపు నాచుతో నిండి ఉంది; కొన్ని ప్రదేశాల నుండి నీటిని సేకరించడానికి, గ్రామస్తులు కొన్ని గుంతలు తవ్వారు."
তাহারই আশেপাশে শৈবালমুক্ত অগভীর তলদেশে বিভক্ত শুক্তিগুলি স্বচ্ছ জলের ভিতর দিয়া অসংখ্য মাণিক্যের মত সূর্যালোকে জ্বলিয়া জ্বলিয়া উঠিতেছিল,उसीके आसपास शैवाल मुक्त साफ़ और स्वच्छ उथले पानी के निचे बिखरी हुई सीप के ऊपर गिरी धूप रत्न की भाति चमक रही थी,ఆల్గే లేని స్పష్టమైన మరియు శుభ్రమైన లోతులేని నీటిలో దాని చుట్టూ చెల్లాచెదురుగా ఉన్న పెంకులపై పడే సూర్యకాంతి ఒక రత్నంలా ప్రకాశిస్తోంది.
তীরে একখণ্ড কালো পাথর সমীপস্থ সমাধিস্তূপের প্রাচীরগাত্র হইতে কোন এক অতীত দিনের বর্ষার খরস্রোতে স্খলিত হইয়া আসিয়া পড়িয়াছিল,अतीत मे किसी बर्षा के प्रचंड स्रोत के कारन पास के एक समाधी स्तूप के दिवार से एक काला पत्थर का टुटा टुकड़ा बह कर किनारे तक आया था,"గతంలో, ఏదో భారీ వర్షం కారణంగా, సమీపంలోని సమాధి స్థూపం గోడ నుండి ఒక నల్ల రాయి ముక్క విరిగి ఒడ్డుకు తేలుతూ వచ్చింది."
এ বাড়ির বধূরা প্রতিসন্ধ্যায় তাহারই একাংশে মৃতাত্মার উদ্দেশে দীপ জ্বালিয়া দিয়া যাইত,इस घर के सारी वधुएँ हर संध्या को वही पर एक कोने में अपने पितरो के स्मरण कर दीया जला जाती , ఈ ఇంట్లోని అందరు వధువులు ప్రతి సాయంత్రం తమ పూర్వీకుల జ్ఞాపకార్థం అక్కడ ఒక మూలలో దీపం వెలిగించేవారు.
সেই পাথরখানির একধারে আসিয়া নীলাম্বর ছোটবোনটির হাত ধরিয়া বসিল,उसी पत्थर के पास आ कर नीलाम्बर अपनी छोटी बहन की हात पकड़ कर बैठ गया,"అదే రాయి దగ్గరకు వచ్చి, నీలంబర్ తన చెల్లెలి చేయి పట్టుకుని కూర్చున్నాడు."
"নদীর উভয় তীরেই বড় বড় আমবাগান এবং বাঁশঝাড়, দুই-একটা বহু প্রাচীন অশ্বত্থ, বট নদীর উপর পর্যন্ত ঝুঁকিয়া পড়িয়া শাখা মেলিয়া দিয়াছে",नदी के दोनों किनारों पर बड़े-बड़े आम के पेड़ और बांस की झाड़ियाँ थीं। कई पुराने पीपल और बरगद के पेड़ों की शाखाएँ पानी के ऊपर झुकी हुई थीं।,"నదికి ఇరువైపులా పెద్ద పెద్ద మామిడి చెట్లు, వెదురు పొదలు ఉన్నాయి. అనేక పాత రావి చెట్లు మరియు మర్రి చెట్ల కొమ్మలు నీటి మీద వంగి ఉన్నాయి."
"ইহাদের শাখায় কতকাল কত পাখি নিরুদ্বেগে বাসা বাঁধিয়াছে, কত শাবক বড় করিয়াছে, কত ফল খাইয়াছে, কত গান গাহিয়াছে, তাহারই ছায়ায় বসিয়া ভাইবোন ক্ষণকাল চুপ করিয়া রহিল","इन्ही शाखाओ पे न जाने कितने पंछी बिना संकोच घोसले बनाकर अपने बच्चो को पला है, कितने फलाहार किये, कितने गाने गए, उसीके चाओ मई दोनों भाई बेहेन कुछ देर तक चुपचाप बैठे रहे "," ఈ కొమ్మలపై ఎన్ని పక్షులు సంకోచం లేకుండా గూళ్ళు నిర్మించి తమ పిల్లలను పెంచాయో, ఎన్ని పండ్లు తిన్నాయో, ఎన్ని పాటలు పాడుకున్నాయో ఎవరికి తెలుసు, అన్నయ్య, చెల్లి ఇద్దరూ కొంతకాలం నిశ్శబ్దంగా ప్రేమలో కూర్చున్నారు."
"হঠাৎ হরিমতি দাদার ক্রোড়ের কাছে আরও একটু সরিয়া আসিয়া বলিল, আচ্ছা দাদা, বৌদি কেন তোমাকে বোষ্টমঠাকুর বলে ডাকে","हरिमती ने अपने भाई के समीप खिसककर पूछा- “दादा (भैया)! भाभी तुम्हें बोष्टम ठाकुर कहकर क्यों पुकारती है""","హరిమతి తన తమ్ముడి దగ్గరగా వెళ్లి అడిగింది- ""దాదా (సోదరుడు)! భాభి నిన్ను బోష్టం ఠాకూర్ అని ఎందుకు పిలుస్తాడు?"""
যে সকল বাঙালি বৈষ্ণব একতারায় গান গেয়ে ভিক্ষা করে তাদের বোষ্টম বলে,"जो बंगाल वैष्णव एकतारा पर भजन गाकर भीख मांगते हैं, उन्हें बोष्टम कहते है",ఏక్తారపై భజనలు పాడుతూ అడుక్కునే బెంగాల్ వైష్ణవులను బోష్టం అంటారు.
"নীলাম্বর গলায় তুলসীর মালা দেখাইয়া হাসিয়া বলিল, আমি বোষ্টম বলেই ডাকে","नीलाम्बर ने अपने गले की तुलसी माला को स्पर्श करते हुए कहा- “मैं बोष्टम हूँ, इसलिए मुझे वह बोष्टम ठाकुर कहती है""","నీలాంబర్ తన మెడలోని తులసి మాలను తాకి ఇలా అన్నాడు- ""నేను బోష్టం, అందుకే ఆమె నన్ను బోష్టం ఠాకూర్ అని పిలుస్తుంది"""
"হরিমতি অবিশ্বাস করিয়া বলিল, যাঃ—তুমি কেন বোষ্টম হবে","हरिमती ने अविश्वास के भाव से कहा- “तुम क्यों बोष्टम हो""","హరిమతి నమ్మలేక- ""నువ్వు ఎందుకు మూర్ఖుడివి?"" అంది."
"তারা ত ভিক্ষে করে! আচ্ছা, ভিক্ষে কেন করে দাদা",बोस्टम तो भिखारी होते हैं... दादा! वे भीख क्यों मांगते हैं,చాలా మంది బిచ్చగాళ్ళు... దాదా! వాళ్ళు ఎందుకు అడుక్కుంటున్నారు?
নেই বলেই করে,"गरीब हैं, इसलिए",వాళ్ళు పేదవాళ్ళు కాబట్టి
"হরিমতি মুখপানে চাহিয়া জিজ্ঞাসা করিল, কিছু নেই","हरिमती ने भाई की ओर सवाल-भरी नजर से देखकर पूछा- “कुछ भी नहीं""","హరిమతి ప్రశ్నార్థక కళ్ళతో తన తమ్ముడి వైపు చూస్తూ అడిగింది- ""ఏమీ లేదు"""
"তাদের পুকুর নেই, বাগান নেই, ধানের গোলা নেই—কিচ্ছুটি নেই","बगीचा पोखर, धान, कुछ भी उसके पास नहीं है "," అతనికి తోట లేదు, చెరువు లేదు, బియ్యం లేవు, ఏమీ లేదు"
"নীলাম্বর সস্নেহে হাত দিয়া বোনটির মাথার চুলগুলি নাড়িয়া দিয়া বলিল, কিচ্ছুটি নেই দিদি, কিচ্ছুটি নেই—","बहेन के माथे को प्यार से सहलाते हुए नीलाम्बर बोलै ""कुछ नहीं है बहना, कुछ भी नहीं""","నీలాంబర్ తన చెల్లి నుదుటిని ప్రేమగా నిమురుతూ, ""ఏమీ కాదు చెల్లి, ఏమీ కాదు"" అన్నాడు."
বোষ্টম হলে কিচ্ছুটি থাকতে নেই,बोष्टम होने पर अपने पास कुछ नहीं रखना पड़ता,"మీరు సంతృప్తి చెందినప్పుడు, మీతో ఏమీ ఉంచుకోవలసిన అవసరం లేదు."
"হরিমতি বলিল, আমাদের ত এত আছে তবে কেন দাও না দাদা","हरिमती ने झट से कहा- “तुम्हारे पास तो सब कुछ है, तुम क्यों नहीं दे देते""","హరిమతి వెంటనే- ""నీ దగ్గర అన్నీ ఉన్నాయి, నాకు ఎందుకు ఇవ్వకూడదు"" అంది."
"নীলাম্বর সহাস্যে বলিল, তবুও তোর দাদা দিতে পারে না","नीलाम्बर ने हंसते हुए कहा- “तुम्हारा दादा कुछ भी नहीं दे सकता""","నీలాంబర్ నవ్వుతూ అన్నాడు- ""మీ తాతగారు ఏమీ ఇవ్వలేరు"""
"কিন্তু তুই যখন রাজার বৌ হবি দিদি, তখন দিস","हाँ, जब तुम राजा की बहू बनोगी तो सब कुछ दे देगा","అవును, నువ్వు రాజు కోడలు అయినప్పుడు, అతను నీకు అన్నీ ఇస్తాడు"
হরিমতি বালিকা হইলেও কথাটায় লজ্জা পাইল,छोटी होने पर भी वह शरमा गई,ఆమె చిన్నది అయినప్పటికీ ఆమె సిగ్గుపడింది
"দাদার বুকে মুখ লুকাইয়া বলিল, যাঃ—","छाती में मुंह छुपाकर बोली- “जाओ""","ఆమె అతని ఛాతీలో తన ముఖాన్ని దాచుకుని, ""వెళ్ళిపో"" అంది."
নীলাম্বর তাকে বড়ো আদরে লালন পালন করেছিল ,नीलाम्बर ने उसे बड़े लाड़-प्यार से पाला था,"నీలాంబర్ అతన్ని ఎంతో ప్రేమగా, శ్రద్ధగా పెంచాడు."
নীলাম্বর দুই হাতে চাপিয়া ধরিয়া তাহার মস্তক চুম্বন করিল,नीलाम्बर ने उसे अपने सीने से लगाकर उसके माथे को चूमा,నీలాంబర్ ఆమెను కౌగిలించుకుని నుదిటిపై ముద్దు పెట్టుకున్నాడు.
"সমস্ত গ্রামের রোগীর সেবা করিয়াছে, মড়া পোড়াইয়াছে, কীর্তন গাহিয়াছে","उसने पुरे गांव के रोगिओं की सेवा किया, मुर्दे जलाये, कीर्तन गाये "," అతను మొత్తం గ్రామంలోని రోగులకు సేవ చేశాడు, చనిపోయినవారిని దహనం చేశాడు మరియు కీర్తనలు పాడాడు."
তিন বছরের শিশুকে বড়বৌব্যাটার হাতে সঁপিয়া দিয়া তাহাদের বিধবা জননী সাত বৎসর পূর্বে স্বর্গারোহণ করে,आज से सात साल पहले उसकी विधवा माँ उसे तीन साल की छोड़कर मर गई थी,"ఏడు సంవత్సరాల క్రితం, అతని వితంతువు తల్లి అతనికి మూడు సంవత్సరాలు మిగిలి మరణించింది."
"নীলাম্বর ইহাকে মানুষ করিয়াছে, গাঁজা খাইয়াছে; কিন্তু জননীর শেষ আদেশটুকু এক মুহূর্তের জন্য অবহেলা করে নাই","नीलाम्बर कितना ही लापरवाह हो, गांजा पीता हो, पर उसने माँ की अन्तिम इच्छा की अवहेलना नहीं की, हरिमती को सम्पूर्ण स्नेह से पाला","నీలాంబర్ ఎంత అజాగ్రత్తగా ఉన్నా, గంజాయి తాగినా, తన తల్లి చివరి కోరికను ధిక్కరించకపోయినా, హరిమతిని పూర్తి ప్రేమతో పెంచాడు."
এমনি করিয়া বুকে করিয়া মানুষ করিয়াছিল বলিয়াই হরিমতি মায়ের মত অসঙ্কোচে দাদার বুকে মুখ রাখিয়া চুপ করিয়া রহিল,तभी तो हरिमती माँ की तरह अपने दादा की छाती में मुंह छुपा लेती थी,అందుకే హరిమతి తన తల్లిలాగే తన తాతగారి ఛాతీలో తన ముఖాన్ని దాచుకునేది.
"অদৃশ্যে পুরাতন ঝির গলা শোনা গেল—পুঁটি, বৌমা ডাকচেন, দুধ খাবে এস","तभी पुरानी नौकरानी ने पुकारा- “पूंटी! तुम्हें भाभी दूध पिलाने के लिए बुला रही है""","అప్పుడే ఆ ముసలి పనిమనిషి పిలిచింది- ""పూంటీ! భాభీ నాకు పాలు పోసేందుకు నిన్ను పిలుస్తోంది"""
"হরিমতি মুখ তুলিয়া মিনতির স্বরে বলিল, দাদা, তুমি বলে দাও না, এখন দুধ খাব না","पूंटी यानी हरिमती ने विनीत स्वर में कहा- “दादा! कह दो न, मैं अभी दूध नहीं पीऊंगी","పూంటి అంటే హరిమతి వినయపూర్వకమైన స్వరంతో- ""నాన్నా! దయచేసి చెప్పు, నేను ఇప్పుడు పాలు తాగను"" అంది."
কেন খাবে না দিদি,क्यों,ఎందుకు
"হরিমতি বলিল, এখনও আমার একটুও ক্ষিদে পায়নি",मेरी इच्छा नहीं है,నాకు వద్దు
"নীলাম্বর হাসিয়া বলিল, সে আমি যেন বুঝলুম, কিন্তু, যে গাল টিপে দেবে, সে-ই বুঝবে না! ",मगर तेरा गाल खींचने वाली भला क्यों मानेगी,కానీ నిన్ను తిట్టేవాడు ఎందుకు అంగీకరిస్తాడు?
"দাসী অলক্ষ্যে থাকিয়া আবার ডাক দিল, পুঁটি! ",नौकरानी ने फिर पुकारा- “पूंटी!”,"పనిమనిషి మళ్ళీ పిలిచింది- ""పూంటీ!"""
"নীলাম্বর তাহাকে তাড়াতাড়ি তুলিয়া দিয়া বলিল, যা, তুই কাপড় ছেড়ে দুধ খেয়ে আয় বোন আমি বসে আছি","नीलाम्बर ने समझाया- “बहन! जल्दी से दू पीकर आ जा, मैं यहीं हूँ","నీలంబర్ వివరించింది- ""సోదరి! త్వరగా కొంచెం నీళ్లు తాగి తిరిగి రా, నేను ఇక్కడ ఉన్నాను"""
হরিমতি অপ্রসন্ন মুখে ধীরে ধীরে চলিয়া গেল,हरिमती मुंह लटकाए चली गई,హరిమతి విచారకరమైన ముఖంతో వెళ్ళిపోయింది.
