bn,hi,te,emotion_bn,emotion_hi,emotion_te,semantic_bn_hi,semantic_bn_te,semantic_hi_te
"নীলাম্বর এক হাত তাহার বোনের মাথার উপর রাখিয়া, সস্নেহে কহিল, 'সকালবেলাই কান্না কেন দিদি'",नीलाम्बर ने उसके सिर पर हाथ रखकर स्नेह से पूछा- 'अरे! सवेरे-सवेरे क्यों रो रही है बहन ',నీలాంబర్ అతని తలపై చేయి వేసి ఆప్యాయంగా అడిగాడు – 'ఏయ్!' చెల్లి ఇంత తెల్లవారుజామున ఎందుకు ఏడుస్తోంది?,1,1,2,0.7907079458236694,0.725330650806427,0.8706760406494141
"হরিমতি মুখ রগড়াইয়া পিঠময় চোখের জল মাখাইয়া দিতে দিতে জানাইল যে, বৌদি গাল টিপিয়া দিয়াছে","हरिमती उसकी पीठ पर जगह-जगह आंसुओ के चिह्न छोड़ती हुई बोली- “आज भाभी ने मेरे गाल पर चुटकी काटी ""","హరిమతి తన వీపు మీద కన్నీటి గుర్తులను వదిలేసి, ""ఈరోజు భాభీ నా చెంపను గిల్లాడు"" అన్నాడు.",2,2,3,0.4807654321193695,0.45453086495399475,0.8090539574623108
এবং ‘কানী’ বলিয়া গাল দিয়াছে,"और ""मुझे कानी कहा! ”","మరియు ""నన్ను ఒంటి కన్ను అని పిలిచారు!""",0,2,3,0.6614712476730347,0.5560894012451172,0.8443795442581177
"নীলাম্বর হাসিয়া বলিল, ""তোমাকে কানী বলে""","नीलाम्बर ने हंसकर कहा- “तुम्हें कानी कहा""","నీలాంబర్ నవ్వుతూ ఇలా అన్నాడు- ""నేను నిన్ను ఒంటి కన్ను అని పిలిచాను""",0,0,0,0.8225719928741455,0.715690016746521,0.8256329298019409
"অমন দু্টি চোক থাকতে যে কানী বলে, সে-ই কানী",अरे! इतनी सुन्दर आँखों वाली को कानी कहने वाली खुद कानी है,ఓహో! అంత అందమైన కళ్ళు ఉన్న అమ్మాయిని అంధురాలు అని పిలిచే వాడు తానే అంధురాలు.,2,0,0,0.4831234812736511,0.326436847448349,0.7992854118347168
কিন্তু গাল টিপে দেয় কেন,पर तुम्हारे गाल पर चुटकी क्यों भरी,కానీ నేను నీ చెంప మీద ఎందుకు చిటికె వేసాను?,2,2,2,0.8523099422454834,0.76849365234375,0.8534029722213745
"হরিমতি কাঁদিতে কাঁদিতে বলিল, মিছিমিছি","हरिमती ने रोते-रोते कहा- “उसकी मर्जी""","హరిమతి ఏడుస్తూ- ""అది అతని కోరిక"" అంది.",1,1,1,0.7402414679527283,0.5514805316925049,0.8737926483154297
মিছিমিছি,उसकी मर्जी,అతని కోరిక,1,0,1,0.3352597653865814,0.3002414107322693,0.8933907747268677
"আচ্ছা, চল ত দেখি,",चल जरा पूछुं तो,"రండి, నేను మిమ్మల్ని అడుగుతాను.",0,2,2,0.5860499143600464,0.5490408539772034,0.774268388748169
"বলিয়া বোনের হাত ধরিয়া ভিতরে আসিয়া ডাকিল, বিরাজবৌ",नीलाम्बर हरिमती का हाथ पकड़कर घर के भीतर गया और पुकारा- “बिराज बहू!”,నీలాంబర్ హరిమతి చేయి పట్టుకుని ఇంటి లోపలికి వెళ్లి “బిరాజ్ బహు!” అని పిలిచాడు.,3,3,0,0.5481735467910767,0.5959148406982422,0.9359108209609985
বড়বধূর নাম বিরাজ,बिराज बड़ी बहू का नाम है,పెద్ద కోడలి పేరు బిరాజ్.,0,0,0,0.7987273335456848,0.6228499412536621,0.794530987739563
তাহার নয় বৎসর বয়সে বিবাহ হইয়াছিল বলিয়া সকলে বিরাজবৌ বলিয়া ডাকিত,"उसकी शादी नौ साल की उम्र में हो गई थी, तबसे उसे सभी बिराज बहू कहते आए थे","ఆమె తొమ్మిదేళ్ల వయసులో వివాహం చేసుకుంది, అప్పటి నుండి అందరూ ఆమెను బిరాజ్ బహు అని పిలిచేవారు.",1,0,0,0.8882617354393005,0.7213815450668335,0.84250807762146
এখন তাহার বয়স উনিশ-কুড়ি,अब उसकी उम्र उन्नीस-बीस साल की है,అతనికి ఇప్పుడు పంతొమ్మిది లేదా ఇరవై సంవత్సరాలు ఉంటాయి,0,1,1,0.9250468611717224,0.8098844885826111,0.8762140870094299
"চার-পাঁচ বছর পূর্বে তাহার একটি পুত্র-সন্তান জন্মিয়া আঁতুড়েই মরিয়াছিল,","चार-पाँच साल पहले एक लड़का हुआ था, दो-चार दिन बाद ही मर गया था","నాలుగు-ఐదు సంవత్సరాల క్రితం ఒక అబ్బాయి పుట్టాడు, రెండు-నాలుగు రోజుల తర్వాత చనిపోయాడు",1,1,1,0.8167113065719604,0.8123334646224976,0.9649074077606201
সেই অবধি সে নিঃসন্তান,तब से वह निःसंतान ही है,అప్పటి నుండి ఆమెకు పిల్లలు లేరు,1,2,1,0.7632089257240295,0.7093127369880676,0.7164696455001831
"ভাইবোনকে একসঙ্গে দেখিয়া জ্বলিয়া উঠিয়া বলিল, ""পোড়ামুখী আবার নালিশ করতে গিয়েছিলি""","भाई-बहन को एक-साथ देखकर वह जल उठी कड़ककर बोली- “कलमुंही, मेरी शिकायत करने गई थी""","సోదరుడు మరియు సోదరిని కలిసి ఉండటం చూసి, ఆమె కోపంగా ఉండి, ""నీ దుష్ట స్త్రీ, నువ్వు నా గురించి ఫిర్యాదు చేయడానికి వెళ్ళావు"" అని అంది.",3,1,3,0.7243093252182007,0.5521454811096191,0.7582749128341675
"নীলাম্বর বলিল, তুমি ‘কানী’ বলেচ,",नीलाम्बर ने शान्त भाव से कहा- तुमने 'कानी' कहा,నీలాంబర్ ప్రశాంతంగా అన్నాడు- నువ్వు నన్ను 'ఒక్క కన్ను' అని పిలిచావు,0,2,0,0.7428890466690063,0.6506625413894653,0.8031023740768433
বিরাজ কহিল,बिराज बोली,బిరాజ్ కోట్,3,0,0,0.5938119888305664,0.44043779373168945,0.7465417385101318
"ঘুম থেকে উঠে কোনো কাজ করা নেই,","सुबह उठते ही कोई काम तो किया नहीं,","నేను ఉదయం లేచిన వెంటనే ఏ పనీ చేయలేదు,",1,1,1,0.7574936747550964,0.67458176612854,0.8839424848556519
গোয়ালে ঢুকে বাছুর খুলে দিয়ে হাঁ করে দাঁড়িয়ে দেখচে,हाँ बछड़ा जरुर खोल दिया और खड़े खड़े देख रही है,"అవును, ఆమె ఖచ్చితంగా దూడను విప్పి, అక్కడ నిలబడి చూస్తోంది",3,3,3,0.5825728178024292,0.40586376190185547,0.788005530834198
আজ এক ফোঁটা দুধ পাওয়া গেল না,"बताइए, आज एक बूंद भी दूध नहीं मिला","చెప్పు, నాకు ఈరోజు పాలు చుక్క కూడా రాలేదు.",1,1,1,0.8310168385505676,0.751774787902832,0.9062143564224243
ওকে মারা উচিত,इसने तो पिटने का काम किया है,అది కొట్టే పని చేసింది,2,2,2,0.43826156854629517,0.4585378170013428,0.9051042199134827
"নীলাম্বর বলিল, দিদি, হঠাৎ বাছুর খুলে দিতে গেলে কেন, ও কাজটা ত তোমার নয়",नीलाम्बर ने पूछा- बहन! बछड़ा खोलने का काम तो तुम्हारा नहीं है,నీలాంబర్ అడిగాడు- సోదరి! దూడను విప్పడం మీ పని కాదు.,2,2,2,0.6375328302383423,0.5984567999839783,0.9020280838012695
"হরিমতি দাদার পিছনে দাঁড়াইয়া আস্তে আস্তে বলিল, আমি মনে করেচি দুধ দোয়া হয়ে গেছে",भाई के पीछे छुपी हुई हरिमती ने कहा- मैंने सोचा कि दूध दुहा जा चुका है,"హరిమతి తన సోదరుడి వెనుక దాక్కుని, ""పాలు పిండాయని నేను అనుకున్నాను"" అని అంది.",3,3,3,0.7046850919723511,0.6959922909736633,0.8341498374938965
আর কোন দিন মনে ক’রো!,फिर ऐसा समझा तो याद रखना,మీరు అలా అనుకుంటే దాన్ని గుర్తుంచుకోండి,1,1,1,0.45702534914016724,0.4607849717140198,0.7606453895568848
"বলিয়া বিরাজ রান্নাঘরে ঢুকিতে যাইতেছিল,",इतना कहकर बिराज चौके में जाने लगी,"ఇలా చెప్పి, బిరాజ్ వంటగదిలోకి వెళ్ళడం ప్రారంభించాడు.",3,2,0,0.5415929555892944,0.7239338159561157,0.6802246570587158
"নীলাম্বর হাসিয়া বলিল, তুমিও একদিন ওর বয়সে মায়ের পাখি উড়িয়ে দিয়েছিলে","नीलाम्बर ने हंसते हुए कहा- “याद है न, इस उम्र में तुमने भी माँ का तोता उड़ा दिया था,","నీలంబర్ నవ్వుతూ ఇలా అన్నాడు- “గుర్తుంచుకో, ఈ వయసులో నువ్వు మీ అమ్మను కూడా నవ్వించావు,",0,0,0,0.7072981595993042,0.7181683778762817,0.907548189163208
"মনে করেছিলে, খাঁচার পাখি উড়তে পারে না",यह सोचकर कि पिंजरे में तोता उड़ ही नहीं सकता,చిలుక బోనులో ఎగరలేదని ఆలోచిస్తున్నారా?,2,3,3,0.785875678062439,0.6109249591827393,0.6422309875488281
"ফিরিয়া দাঁড়াইয়া হাসিমুখে বলিল, পড়ে; কিন্তু ও বয়সে নয়—আরও ছোট ছিলাম","पलटकर उसने मुस्कराकर कहा- “याद है, पर तब मैं पर तब मई इससे भी बहुत छोटी थी""","ఆమె వెనక్కి తిరిగి నవ్వి- ""నాకు గుర్తుంది, కానీ ఆ సమయంలో నేను దీని కంటే చాలా చిన్నవాడిని"" అని చెప్పింది.",0,0,0,0.6569744944572449,0.6212683320045471,0.9025768041610718
"হরিমতি বলিল, চল না দাদা, বাগানে গিয়ে দেখি, আম পাকল কি না","हरिमतीने कहा- “दादा! चलो, जरा देखें कि बगीचे में आम पके या नहीं""","హరిమతి అంది- ""నాన్నా! తోటలో మామిడికాయలు పండిపోయాయో లేదో చూద్దాం""",3,2,0,0.7916150689125061,0.7152915000915527,0.8827367424964905
তাই চল,हाँ चलो,అవును వెళ్దాం,0,0,0,0.7845269441604614,0.7591577768325806,0.963693380355835
"যদু চাকর ভিতরে ঢুকিয়া বলিল, নারাণ ঠাকুরদা বসে আছেন","उसी पल नौकर यदु ने आकर कहा- “नारायण बाबा आए बैठे हैं""","ఆ సమయంలోనే సేవకుడు యదువు వచ్చి, ""నారాయణ బాబా వచ్చి ఇక్కడ కూర్చున్నాడు"" అని అన్నాడు.",3,0,0,0.5831537246704102,0.5535565614700317,0.9067213535308838
"রান্নাঘরের ভিতর হইতে বিরাজ এ কথা শুনিতে পাইয়া দ্রুতপদে বাহিরে আসিয়া চেঁচাইয়া বলিল, যেতে বলে দে খুড়োকে","रसोई के अंदर से सुनकर बिराज बाज की तरह झपटकर बोली- “चाचा को जाने के लिए कह दे""","వంటగది లోపలి నుండి ఇది విన్న బిరాజ్, గద్దలాగా దూకి, “మామయ్యను వెళ్ళమని చెప్పు” అన్నాడు.",3,2,3,0.7283848524093628,0.7558498382568359,0.8993698358535767
"স্বামীর প্রতি চাহিয়া বলিল, সকালবেলাতেই যদি ও-সব খাবে ত আমি মাথা খুঁড়ে মরব, কি-সব হচ্ছে আজকাল!",यदि तुमने सुबह-सुबह पीने का धन्धा शुरु किया तो मैं अपने प्राण दे दूंगी... ये सब क्या है....,"నువ్వు పొద్దున్నే తాగడం మొదలుపెడితే, నేను నా ప్రాణాన్నే వదులుకుంటాను... ఇదంతా ఏమిటి....",3,2,1,0.5847102403640747,0.5519666075706482,0.9337521195411682
নীলাম্বর জবাব দিল না,नीलाम्बर ने कोई जवाब नहीं दीया,నీలాంబర్ ఎటువంటి సమాధానం ఇవ్వలేదు.,1,2,2,0.9114340543746948,0.8051652312278748,0.892763614654541
নিঃশব্দে ভগিনীর হাত ধরিয়া খিড়কির দ্বার দিয়া বাগানে চলিয়া গেল,चुपचाप बहन को लेकर बगीचे की ओर चल पड़ा,నిశ్శబ్దంగా తన చెల్లిని తీసుకొని తోట వైపు నడిచాడు.,3,3,3,0.742194414138794,0.6787335872650146,0.8407527208328247
এই বাগানটির এক প্রান্ত দিয়া শীর্ণকায়া সরস্বতী নদীর মৃদু স্রোতটুকু গঙ্গাযাত্রীর শ্বাস-প্রশ্বাসের মত বহিয়া যাইতেছিল,उसी बगीचे के पास से सरस्वती नदी की एक पतली सी धार किसी मरने वाले की अंतिम साँस की तरह बह रही थी,ఆ తోట దగ్గర సరస్వతి నది సన్నని ప్రవాహం మరణిస్తున్న వ్యక్తి చివరి శ్వాసలా ప్రవహిస్తోంది.,3,1,3,0.7516663074493408,0.6597211360931396,0.8356683254241943
সর্বাঙ্গ শৈবালে পরিপূর্ণ; শধু মাঝে মাঝে গ্রামবাসীরা জল আহরণের জন্য কূপ খনন করিয়া রাখিয়া গিয়াছে,समुद्री काई से भरी; सिर्फ कही बिच बिच मै से पानी लेने के लिए गाँव वालो ने कुछ खड्डे जैसे बना कर गए है,"సముద్రపు నాచుతో నిండి ఉంది; కొన్ని ప్రదేశాల నుండి నీటిని సేకరించడానికి, గ్రామస్తులు కొన్ని గుంతలు తవ్వారు.",3,3,3,0.6895822286605835,0.702847957611084,0.807732880115509
তাহারই আশেপাশে শৈবালমুক্ত অগভীর তলদেশে বিভক্ত শুক্তিগুলি স্বচ্ছ জলের ভিতর দিয়া অসংখ্য মাণিক্যের মত সূর্যালোকে জ্বলিয়া জ্বলিয়া উঠিতেছিল,उसीके आसपास शैवाल मुक्त साफ़ और स्वच्छ उथले पानी के निचे बिखरी हुई सीप के ऊपर गिरी धूप रत्न की भाति चमक रही थी,ఆల్గే లేని స్పష్టమైన మరియు శుభ్రమైన లోతులేని నీటిలో దాని చుట్టూ చెల్లాచెదురుగా ఉన్న పెంకులపై పడే సూర్యకాంతి ఒక రత్నంలా ప్రకాశిస్తోంది.,3,0,3,0.7248328328132629,0.7483785152435303,0.716887891292572
তীরে একখণ্ড কালো পাথর সমীপস্থ সমাধিস্তূপের প্রাচীরগাত্র হইতে কোন এক অতীত দিনের বর্ষার খরস্রোতে স্খলিত হইয়া আসিয়া পড়িয়াছিল,अतीत मे किसी बर्षा के प्रचंड स्रोत के कारन पास के एक समाधी स्तूप के दिवार से एक काला पत्थर का टुटा टुकड़ा बह कर किनारे तक आया था,"గతంలో, ఏదో భారీ వర్షం కారణంగా, సమీపంలోని సమాధి స్థూపం గోడ నుండి ఒక నల్ల రాయి ముక్క విరిగి ఒడ్డుకు తేలుతూ వచ్చింది.",3,3,3,0.8046265840530396,0.7289183735847473,0.8646664619445801
এ বাড়ির বধূরা প্রতিসন্ধ্যায় তাহারই একাংশে মৃতাত্মার উদ্দেশে দীপ জ্বালিয়া দিয়া যাইত,इस घर के सारी वधुएँ हर संध्या को वही पर एक कोने में अपने पितरो के स्मरण कर दीया जला जाती,ఈ ఇంట్లోని అందరు వధువులు ప్రతి సాయంత్రం తమ పూర్వీకుల జ్ఞాపకార్థం అక్కడ ఒక మూలలో దీపం వెలిగించేవారు.,1,1,1,0.5837693810462952,0.5926169157028198,0.853759765625
সেই পাথরখানির একধারে আসিয়া নীলাম্বর ছোটবোনটির হাত ধরিয়া বসিল,उसी पत्थर के पास आ कर नीलाम्बर अपनी छोटी बहन की हात पकड़ कर बैठ गया,"అదే రాయి దగ్గరకు వచ్చి, నీలంబర్ తన చెల్లెలి చేయి పట్టుకుని కూర్చున్నాడు.",3,3,3,0.7603288888931274,0.7444292306900024,0.9035545587539673
"নদীর উভয় তীরেই বড় বড় আমবাগান এবং বাঁশঝাড়, দুই-একটা বহু প্রাচীন অশ্বত্থ, বট নদীর উপর পর্যন্ত ঝুঁকিয়া পড়িয়া শাখা মেলিয়া দিয়াছে",नदी के दोनों किनारों पर बड़े-बड़े आम के पेड़ और बांस की झाड़ियाँ थीं। कई पुराने पीपल और बरगद के पेड़ों की शाखाएँ पानी के ऊपर झुकी हुई थीं।,"నదికి ఇరువైపులా పెద్ద పెద్ద మామిడి చెట్లు, వెదురు పొదలు ఉన్నాయి. అనేక పాత రావి చెట్లు మరియు మర్రి చెట్ల కొమ్మలు నీటి మీద వంగి ఉన్నాయి.",3,3,3,0.8155331611633301,0.7944918870925903,0.9159414172172546
"ইহাদের শাখায় কতকাল কত পাখি নিরুদ্বেগে বাসা বাঁধিয়াছে, কত শাবক বড় করিয়াছে, কত ফল খাইয়াছে, কত গান গাহিয়াছে, তাহারই ছায়ায় বসিয়া ভাইবোন ক্ষণকাল চুপ করিয়া রহিল","इन्ही शाखाओ पे न जाने कितने पंछी बिना संकोच घोसले बनाकर अपने बच्चो को पला है, कितने फलाहार किये, कितने गाने गए, उसीके चाओ मई दोनों भाई बेहेन कुछ देर तक चुपचाप बैठे रहे","ఈ కొమ్మలపై ఎన్ని పక్షులు సంకోచం లేకుండా గూళ్ళు నిర్మించి తమ పిల్లలను పెంచాయో, ఎన్ని పండ్లు తిన్నాయో, ఎన్ని పాటలు పాడుకున్నాయో ఎవరికి తెలుసు, అన్నయ్య, చెల్లి ఇద్దరూ కొంతకాలం నిశ్శబ్దంగా ప్రేమలో కూర్చున్నారు.",2,2,0,0.7961429953575134,0.7398397922515869,0.8083455562591553
"হঠাৎ হরিমতি দাদার ক্রোড়ের কাছে আরও একটু সরিয়া আসিয়া বলিল, আচ্ছা দাদা, বৌদি কেন তোমাকে বোষ্টমঠাকুর বলে ডাকে","हरिमती ने अपने भाई के समीप खिसककर पूछा- “दादा (भैया)! भाभी तुम्हें बोष्टम ठाकुर कहकर क्यों पुकारती है""","హరిమతి తన తమ్ముడి దగ్గరగా వెళ్లి అడిగింది- ""దాదా (సోదరుడు)! భాభి నిన్ను బోష్టం ఠాకూర్ అని ఎందుకు పిలుస్తాడు?""",2,2,2,0.6744813919067383,0.6550840139389038,0.9502756595611572
যে সকল বাঙালি বৈষ্ণব একতারায় গান গেয়ে ভিক্ষা করে তাদের বোষ্টম বলে,"जो बंगाल वैष्णव एकतारा पर भजन गाकर भीख मांगते हैं, उन्हें बोष्टम कहते है",ఏక్తారపై భజనలు పాడుతూ అడుక్కునే బెంగాల్ వైష్ణవులను బోష్టం అంటారు.,0,2,2,0.7612624168395996,0.7780057191848755,0.8459421396255493
"নীলাম্বর গলায় তুলসীর মালা দেখাইয়া হাসিয়া বলিল, আমি বোষ্টম বলেই ডাকে","नीलाम्बर ने अपने गले की तुलसी माला को स्पर्श करते हुए कहा- “मैं बोष्टम हूँ, इसलिए मुझे वह बोष्टम ठाकुर कहती है""","నీలాంబర్ తన మెడలోని తులసి మాలను తాకి ఇలా అన్నాడు- ""నేను బోష్టం, అందుకే ఆమె నన్ను బోష్టం ఠాకూర్ అని పిలుస్తుంది""",0,0,0,0.5514092445373535,0.5317354202270508,0.8782458901405334
"হরিমতি অবিশ্বাস করিয়া বলিল, যাঃ—তুমি কেন বোষ্টম হবে","हरिमती ने अविश्वास के भाव से कहा- “तुम क्यों बोष्टम हो""","హరిమతి నమ్మలేక- ""నువ్వు ఎందుకు మూర్ఖుడివి?"" అంది.",3,2,1,0.8132940530776978,0.723330020904541,0.8251112103462219
"তারা ত ভিক্ষে করে! আচ্ছা, ভিক্ষে কেন করে দাদা",बोस्टम तो भिखारी होते हैं... दादा! वे भीख क्यों मांगते हैं,చాలా మంది బిచ్చగాళ్ళు... దాదా! వాళ్ళు ఎందుకు అడుక్కుంటున్నారు?,2,2,2,0.5883408784866333,0.5381952524185181,0.6866424083709717
নেই বলেই করে,"गरीब हैं, इसलिए",వాళ్ళు పేదవాళ్ళు కాబట్టి,1,1,2,0.46179115772247314,0.4093611538410187,0.8207203149795532
"হরিমতি মুখপানে চাহিয়া জিজ্ঞাসা করিল, কিছু নেই","हरिमती ने भाई की ओर सवाल-भरी नजर से देखकर पूछा- “कुछ भी नहीं""","హరిమతి ప్రశ్నార్థక కళ్ళతో తన తమ్ముడి వైపు చూస్తూ అడిగింది- ""ఏమీ లేదు""",1,3,3,0.7338083386421204,0.7157797813415527,0.9458086490631104
"তাদের পুকুর নেই, বাগান নেই, ধানের গোলা নেই—কিচ্ছুটি নেই","बगीचा पोखर, धान, कुछ भी उसके पास नहीं है","అతనికి తోట లేదు, చెరువు లేదు, బియ్యం లేవు, ఏమీ లేదు",2,2,1,0.6689404249191284,0.8688607811927795,0.7770922183990479
"নীলাম্বর সস্নেহে হাত দিয়া বোনটির মাথার চুলগুলি নাড়িয়া দিয়া বলিল, কিচ্ছুটি নেই দিদি, কিচ্ছুটি নেই—","बहेन के माथे को प्यार से सहलाते हुए नीलाम्बर बोलै ""कुछ नहीं है बहना, कुछ भी नहीं""","నీలాంబర్ తన చెల్లి నుదుటిని ప్రేమగా నిమురుతూ, ""ఏమీ కాదు చెల్లి, ఏమీ కాదు"" అన్నాడు.",1,0,0,0.6528379917144775,0.5838719606399536,0.8483720421791077
বোষ্টম হলে কিচ্ছুটি থাকতে নেই,बोष्टम होने पर अपने पास कुछ नहीं रखना पड़ता,"మీరు సంతృప్తి చెందినప్పుడు, మీతో ఏమీ ఉంచుకోవలసిన అవసరం లేదు.",1,1,0,0.7277528643608093,0.4645152688026428,0.6610758304595947
"হরিমতি বলিল, আমাদের ত এত আছে তবে কেন দাও না দাদা","हरिमती ने झट से कहा- “तुम्हारे पास तो सब कुछ है, तुम क्यों नहीं दे देते""","హరిమతి వెంటనే- ""నీ దగ్గర అన్నీ ఉన్నాయి, నాకు ఎందుకు ఇవ్వకూడదు"" అంది.",2,2,1,0.7080472707748413,0.6433827877044678,0.912918210029602
"নীলাম্বর সহাস্যে বলিল, তবুও তোর দাদা দিতে পারে না","नीलाम्बर ने हंसते हुए कहा- “तुम्हारा दादा कुछ भी नहीं दे सकता""","నీలాంబర్ నవ్వుతూ అన్నాడు- ""మీ తాతగారు ఏమీ ఇవ్వలేరు""",2,0,0,0.7068195343017578,0.7083227634429932,0.9695890545845032
